date,vn30_index_value,volume,value
2022-10-03,66877449.70165748,57300.0,1167.145719051614
2022-10-04,66769531.19120812,57300.0,1165.2623244538938
2022-10-05,67988200.42700323,57300.0,1186.53054846428
2022-10-06,66092500.65787995,57300.0,1153.446782860034
2022-10-07,64152728.3293237,57300.0,1119.5938626409022
2022-10-10,64607223.00434314,57300.0,1127.5257068820792
2022-10-11,62574582.82366741,57300.0,1092.052056259466
2022-10-12,64760807.11351322,57300.0,1130.2060578274559
2022-10-13,65403765.681108624,57300.0,1141.4269752374978
2022-10-14,65602080.40017698,57300.0,1144.8879650990748
2022-10-17,64266773.512797594,57300.0,1121.5841799790155
2022-10-18,64754805.78201197,57300.0,1130.101322548202
2022-10-19,64511870.76377515,57300.0,1125.8616189140514
2022-10-20,64484338.86887656,57300.0,1125.3811320920865
2022-10-21,62070736.45007567,57300.0,1083.258925830291
2022-10-24,60081795.51061592,57300.0,1048.547914670435
2022-10-25,61289791.735031605,57300.0,1069.629873211721
2022-10-26,61129492.81888749,57300.0,1066.8323354081585
2022-10-27,63023623.04351911,57300.0,1099.8887093109793
2022-10-28,62564858.80146901,57300.0,1091.8823525561781
2022-10-31,62301480.48669523,57300.0,1087.285872368154
2022-11-01,62752012.236751184,57300.0,1095.1485556152038
2022-11-02,61944141.4376422,57300.0,1081.0495887895672
2022-11-03,61790121.4005824,57300.0,1078.361630027616
2022-11-04,60597678.29534362,57300.0,1057.5511046307788
2022-11-07,59527906.88000931,57300.0,1038.881446422501
2022-11-08,60261860.8923214,57300.0,1051.6904169689599
2022-11-09,59738326.5994381,57300.0,1042.5536928348708
2022-11-10,57329585.47035038,57300.0,1000.5163258350851
2022-11-11,58292604.10237221,57300.0,1017.3229337237732
2022-11-14,57700614.3948867,57300.0,1006.9915252161728
2022-11-15,56404570.294847056,57300.0,984.3729545348526
2022-11-16,58735678.56598188,57300.0,1025.0554723557048
2022-11-17,60458295.64661916,57300.0,1055.1185976722368
2022-11-18,61081139.87143456,57300.0,1065.9884794316677
2022-11-21,60458712.808158964,57300.0,1055.1258779783414
2022-11-22,59724049.058583505,57300.0,1042.3045210922078
2022-11-23,59104836.956413336,57300.0,1031.4980271625363
2022-11-24,59363565.519780666,57300.0,1036.013359856556
2022-11-25,61528978.31017774,57300.0,1073.8041589908855
2022-11-28,63862573.89511346,57300.0,1114.5300854295542
2022-11-29,65440596.357378624,57300.0,1142.0697444568696
2022-11-30,66937058.40982095,57300.0,1168.1860106425995
2022-12-01,66205157.411539346,57300.0,1155.4128693113323
2022-12-02,69067058.37982297,57300.0,1205.3587849881844
2022-12-05,69897380.34444314,57300.0,1219.8495697110495
2022-12-06,66593899.8784152,57300.0,1162.1972055569843
2022-12-07,66706391.01751225,57300.0,1164.1604017017844
2022-12-08,67365250.5683806,57300.0,1175.6588231829073
2022-12-09,67037937.32180529,57300.0,1169.946550118766
2022-12-12,64804831.261286266,57300.0,1130.9743675617149
2022-12-13,65651156.70473967,57300.0,1145.7444451088948
2022-12-14,65459762.47768437,57300.0,1142.4042317222404
2022-12-15,66033766.30202467,57300.0,1152.4217504716348
2022-12-16,65655464.53561662,57300.0,1145.8196254034315
2022-12-19,64789853.20671872,57300.0,1130.7129704488432
2022-12-20,63732611.65585359,57300.0,1112.2619835227504
2022-12-21,64321213.89668463,57300.0,1122.5342739386497
2022-12-22,64707028.63819833,57300.0,1129.2675155008435
2022-12-23,64164986.13795182,57300.0,1119.8077860026497
2022-12-26,61479445.639181964,57300.0,1072.9397144708894
2022-12-27,62776590.66538019,57300.0,1095.5774985232144
2022-12-28,63094657.478972,57300.0,1101.1284027743804
2022-12-29,62758567.4407721,57300.0,1095.2629570815375
2022-12-30,62715441.32552353,57300.0,1094.5103198171646
