Date,Open,High,Low,Close,Volume,Symbol
2022-10-03,22050.0,22300.0,21300.0,21600.0,3657900.0,ACB
2022-10-04,21700.0,21950.0,21000.0,21000.0,3472500.0,ACB
2022-10-05,21100.0,21450.0,20800.0,20800.0,3255800.0,ACB
2022-10-06,20850.0,21200.0,20000.0,20000.0,2848400.0,ACB
2022-10-07,19550.0,19900.0,18600.0,18650.0,8485400.0,ACB
2022-10-10,18200.0,19100.0,18200.0,18700.0,6473000.0,ACB
2022-10-11,18700.0,18700.0,17450.0,17500.0,6434000.0,ACB
2022-10-12,17900.0,18700.0,17800.0,18700.0,3365500.0,ACB
2022-10-13,18700.0,19950.0,18500.0,19950.0,3901800.0,ACB
2022-10-14,20500.0,20900.0,20200.0,20850.0,3138200.0,ACB
2022-10-17,20300.0,21000.0,20250.0,20950.0,3756600.0,ACB
2022-10-18,21300.0,21500.0,21100.0,21400.0,2767600.0,ACB
2022-10-19,21600.0,21600.0,21000.0,21100.0,1445700.0,ACB
2022-10-20,21100.0,21500.0,20700.0,21350.0,4023500.0,ACB
2022-10-21,21350.0,21350.0,20250.0,20400.0,3385500.0,ACB
2022-10-24,20450.0,20500.0,19200.0,19500.0,2797800.0,ACB
2022-10-25,19700.0,20850.0,19150.0,20400.0,4926800.0,ACB
2022-10-26,20600.0,20900.0,20200.0,20650.0,2169100.0,ACB
2022-10-27,20700.0,22050.0,20500.0,22050.0,4846000.0,ACB
2022-10-28,22400.0,22550.0,22050.0,22300.0,3551700.0,ACB
2022-10-31,22350.0,22500.0,21650.0,22400.0,3747300.0,ACB
2022-11-01,22500.0,23000.0,22350.0,22450.0,3355400.0,ACB
2022-11-02,22400.0,22450.0,21800.0,21800.0,3538200.0,ACB
2022-11-03,21500.0,22000.0,21350.0,21350.0,3279300.0,ACB
2022-11-04,21350.0,21400.0,19950.0,20150.0,12616400.0,ACB
2022-11-07,20900.0,21000.0,20200.0,20650.0,4908600.0,ACB
2022-11-08,20600.0,21750.0,20150.0,21300.0,4065900.0,ACB
2022-11-09,21400.0,21700.0,20700.0,20750.0,3278700.0,ACB
2022-11-10,20650.0,20900.0,19500.0,20000.0,5464700.0,ACB
2022-11-11,20700.0,21200.0,20450.0,20800.0,4325500.0,ACB
2022-11-14,20500.0,20700.0,19950.0,20300.0,5257100.0,ACB
2022-11-15,20250.0,20450.0,19100.0,19100.0,6563300.0,ACB
2022-11-16,18900.0,20400.0,17900.0,20400.0,7397800.0,ACB
2022-11-17,20800.0,21350.0,20800.0,21050.0,4304700.0,ACB
2022-11-18,20800.0,21450.0,20600.0,21150.0,3536700.0,ACB
2022-11-21,21200.0,21200.0,20600.0,20600.0,2279000.0,ACB
